Cliente_ID,Compra_ID,Conservas,Panadería,Congelados,Higiene,Hogar,Cross_Selling,Tarjeta_Fidelidad,Fecha
7,40,"68,74 €","12,19 €","44,30 €","41,50 €","40,90 €",FALSE,FALSE,08-03-2024
21,41,"79,43 €","97,69 €","37,61 €","65,62 €","47,38 €",FALSE,TRUE,12-08-2024
9,42,"37,21 €","20,75 €","7,90 €","94,21 €","13,71 €",TRUE,TRUE,21-07-2024
39,43,"31,95 €","56,11 €","27,60 €","32,53 €","68,13 €",TRUE,FALSE,08-04-2024
18,44,"67,27 €","79,46 €","85,23 €","38,98 €","74,31 €",FALSE,FALSE,24-01-2024
4,45,"62,89 €","34,92 €","52,54 €","86,11 €","17,76 €",TRUE,TRUE,23-12-2023
25,46,"33,45 €","54,87 €","96,70 €","56,19 €","66,86 €",TRUE,FALSE,12-08-2024
14,47,"68,95 €","31,42 €","53,32 €","79,30 €","96,17 €",TRUE,FALSE,24-04-2024
50,48,"42,78 €","83,71 €","83,98 €","92,70 €","61,92 €",FALSE,TRUE,12-10-2024
9,49,"72,51 €","87,45 €","83,13 €","71,87 €","17,36 €",FALSE,FALSE,06-11-2023
26,50,"4,60 €","42,86 €","47,45 €","99,07 €","79,86 €",FALSE,FALSE,14-09-2024
2,51,"9,29 €","22,53 €","79,88 €","16,36 €","27,03 €",FALSE,FALSE,06-09-2024
20,52,"67,86 €","60,11 €","94,82 €","41,60 €","98,50 €",FALSE,TRUE,02-07-2024
28,53,"32,15 €","87,54 €","47,31 €","30,32 €","3,81 €",TRUE,TRUE,16-09-2024
47,54,"84,19 €","39,09 €","11,38 €","19,94 €","9,62 €",FALSE,TRUE,10-07-2024
7,55,"38,07 €","50,09 €","81,44 €","93,05 €","99,26 €",TRUE,FALSE,21-09-2024
44,56,"2,65 €","96,38 €","47,48 €","33,57 €","6,75 €",TRUE,FALSE,22-12-2023
8,57,"13,39 €","38,23 €","52,72 €","94,05 €","80,82 €",FALSE,TRUE,04-07-2024
47,58,"69,40 €","80,16 €","57,00 €","71,41 €","22,85 €",FALSE,FALSE,24-06-2024
35,59,"25,99 €","93,43 €","98,51 €","49,85 €","26,27 €",TRUE,FALSE,14-06-2024
14,60,"33,81 €","18,32 €","23,01 €","33,67 €","71,69 €",TRUE,FALSE,04-01-2024
17,61,"93,31 €","1,26 €","62,61 €","75,15 €","94,21 €",TRUE,FALSE,19-12-2023
36,62,"83,31 €","63,49 €","29,76 €","36,64 €","60,36 €",FALSE,FALSE,03-02-2024
50,63,"49,81 €","41,75 €","64,53 €","53,68 €","84,04 €",FALSE,TRUE,29-01-2024
40,64,"99,11 €","90,19 €","8,69 €","50,49 €","29,27 €",FALSE,FALSE,19-07-2024
4,65,"89,04 €","3,73 €","98,38 €","74,06 €","56,71 €",FALSE,TRUE,15-08-2024
2,66,"42,09 €","3,36 €","23,43 €","96,41 €","84,76 €",FALSE,FALSE,02-02-2024
6,67,"82,31 €","44,50 €","67,14 €","27,63 €","26,26 €",TRUE,TRUE,25-01-2024
42,68,"13,34 €","31,94 €","5,32 €","98,37 €","30,75 €",FALSE,FALSE,15-01-2024
4,69,"80,58 €","9,46 €","99,99 €","69,08 €","48,59 €",TRUE,TRUE,12-08-2024
29,70,"52,21 €","68,83 €","94,85 €","81,91 €","89,81 €",TRUE,FALSE,26-02-2024
18,71,"98,39 €","3,58 €","86,52 €","8,61 €","31,31 €",TRUE,TRUE,26-08-2024
26,72,"21,84 €","39,28 €","42,89 €","18,77 €","59,21 €",FALSE,FALSE,11-04-2024
44,73,"1,02 €","79,16 €","80,53 €","88,11 €","2,69 €",FALSE,TRUE,28-04-2024
34,74,"19,14 €","12,69 €","31,24 €","82,73 €","49,29 €",FALSE,FALSE,08-06-2024
10,75,"69,01 €","61,05 €","75,73 €","25,20 €","4,06 €",TRUE,TRUE,04-09-2024
36,76,"34,29 €","42,45 €","58,57 €","55,87 €","44,05 €",TRUE,TRUE,05-11-2023
14,77,"81,45 €","13,20 €","65,88 €","30,31 €","84,61 €",TRUE,FALSE,23-09-2024
31,78,"70,26 €","20,19 €","22,85 €","72,12 €","48,75 €",TRUE,FALSE,18-07-2024
48,79,"31,20 €","88,53 €","60,59 €","86,62 €","65,74 €",TRUE,TRUE,07-04-2024
15,80,"33,28 €","54,67 €","4,98 €","18,71 €","5,62 €",TRUE,FALSE,28-03-2024
8,81,"87,00 €","30,31 €","6,64 €","62,20 €","21,21 €",FALSE,TRUE,22-01-2024
14,82,"82,06 €","42,35 €","2,75 €","18,44 €","74,34 €",FALSE,TRUE,24-03-2024
23,83,"28,72 €","76,72 €","40,73 €","13,42 €","65,61 €",FALSE,TRUE,18-02-2024
40,84,"9,56 €","42,42 €","85,95 €","64,81 €","62,76 €",FALSE,FALSE,04-12-2023
21,85,"69,81 €","86,24 €","85,76 €","59,96 €","14,16 €",TRUE,TRUE,09-08-2024
16,86,"54,62 €","29,63 €","90,40 €","75,18 €","29,53 €",TRUE,TRUE,04-05-2024
45,87,"15,71 €","57,06 €","67,28 €","20,56 €","39,02 €",FALSE,FALSE,19-01-2024
18,88,"49,27 €","96,08 €","61,91 €","8,93 €","53,40 €",TRUE,FALSE,31-10-2023
47,89,"94,94 €","77,39 €","22,18 €","7,76 €","99,02 €",FALSE,FALSE,27-08-2024
24,90,"94,46 €","48,74 €","15,69 €","80,89 €","12,77 €",FALSE,FALSE,13-05-2024
26,91,"3,20 €","61,34 €","57,75 €","84,49 €","18,41 €",FALSE,TRUE,09-11-2023
25,92,"87,02 €","91,83 €","28,00 €","94,54 €","50,65 €",TRUE,TRUE,19-06-2024
45,93,"66,17 €","6,22 €","88,86 €","90,55 €","74,94 €",FALSE,TRUE,11-05-2024
41,94,"51,52 €","47,96 €","6,49 €","54,23 €","16,85 €",FALSE,TRUE,25-02-2024
29,95,"7,41 €","39,76 €","84,01 €","87,13 €","76,17 €",FALSE,FALSE,18-11-2023
15,96,"43,13 €","13,50 €","43,86 €","65,22 €","4,96 €",TRUE,TRUE,16-07-2024
45,97,"89,86 €","7,59 €","21,51 €","38,95 €","35,23 €",TRUE,TRUE,17-08-2024
1,98,"5,14 €","34,34 €","93,95 €","39,89 €","4,48 €",FALSE,FALSE,11-07-2024
25,99,"27,78 €","12,81 €","35,63 €","31,79 €","41,03 €",TRUE,TRUE,07-06-2024
7,100,"83,42 €","46,36 €","86,35 €","38,87 €","6,87 €",TRUE,TRUE,11-06-2024
9,101,"67,29 €","48,21 €","93,41 €","93,69 €","74,96 €",TRUE,TRUE,21-12-2023
24,102,"9,59 €","40,06 €","27,24 €","46,45 €","73,23 €",TRUE,TRUE,18-10-2024
1,103,"42,41 €","28,63 €","17,17 €","68,70 €","83,62 €",TRUE,TRUE,05-10-2024
44,104,"75,48 €","64,27 €","3,61 €","18,06 €","43,96 €",TRUE,TRUE,27-10-2024
8,105,"98,37 €","14,98 €","71,36 €","57,81 €","37,90 €",TRUE,FALSE,04-08-2024
24,106,"90,63 €","84,41 €","92,19 €","18,67 €","48,11 €",TRUE,FALSE,18-01-2024
11,107,"59,42 €","33,32 €","85,79 €","51,21 €","10,73 €",TRUE,TRUE,18-05-2024
17,108,"66,72 €","5,86 €","72,33 €","66,99 €","21,08 €",TRUE,TRUE,04-04-2024
8,109,"13,10 €","2,07 €","47,67 €","95,52 €","92,54 €",FALSE,FALSE,26-02-2024
35,110,"31,02 €","83,27 €","96,69 €","3,57 €","30,18 €",FALSE,TRUE,27-12-2023
35,111,"3,59 €","39,42 €","73,31 €","67,39 €","42,95 €",TRUE,TRUE,31-05-2024
33,112,"76,41 €","76,26 €","98,59 €","47,15 €","23,00 €",FALSE,TRUE,05-03-2024
5,113,"20,99 €","91,85 €","64,37 €","18,67 €","94,30 €",FALSE,FALSE,09-06-2024
42,114,"95,20 €","18,14 €","19,90 €","2,09 €","85,50 €",TRUE,TRUE,25-05-2024
39,115,"49,44 €","94,74 €","65,48 €","56,70 €","75,60 €",TRUE,FALSE,21-02-2024
41,116,"76,22 €","16,26 €","57,27 €","32,27 €","25,50 €",TRUE,TRUE,25-05-2024
28,117,"83,20 €","99,81 €","6,68 €","74,12 €","99,40 €",FALSE,FALSE,12-11-2023
7,118,"21,27 €","53,27 €","21,88 €","46,41 €","80,54 €",FALSE,FALSE,07-11-2023
9,119,"34,24 €","12,66 €","30,55 €","26,28 €","39,20 €",TRUE,TRUE,08-12-2023
8,120,"32,28 €","53,02 €","34,90 €","15,92 €","2,32 €",TRUE,FALSE,22-06-2024
12,121,"67,36 €","20,07 €","45,35 €","8,07 €","44,98 €",TRUE,TRUE,05-08-2024
34,122,"51,63 €","81,55 €","75,77 €","6,62 €","57,09 €",FALSE,FALSE,22-10-2024
33,123,"97,64 €","23,45 €","98,99 €","27,29 €","82,39 €",FALSE,TRUE,17-05-2024
48,124,"95,14 €","83,04 €","26,47 €","84,71 €","33,21 €",FALSE,TRUE,01-07-2024
23,125,"40,78 €","64,53 €","49,86 €","37,36 €","99,35 €",FALSE,FALSE,02-08-2024
24,126,"82,98 €","86,80 €","15,39 €","10,07 €","92,78 €",TRUE,TRUE,20-06-2024
37,127,"97,82 €","46,03 €","96,74 €","38,14 €","97,42 €",TRUE,TRUE,02-11-2023
35,128,"53,85 €","41,41 €","38,04 €","54,53 €","91,36 €",TRUE,FALSE,31-03-2024
44,129,"94,38 €","36,48 €","77,76 €","1,61 €","16,56 €",TRUE,TRUE,27-11-2023
40,130,"90,92 €","33,83 €","87,96 €","51,35 €","11,58 €",FALSE,TRUE,15-02-2024
22,131,"48,78 €","59,60 €","25,54 €","28,59 €","96,60 €",FALSE,FALSE,04-02-2024
27,132,"14,87 €","79,52 €","63,90 €","57,62 €","77,23 €",TRUE,FALSE,31-05-2024
35,133,"66,32 €","16,93 €","69,58 €","5,30 €","0,28 €",TRUE,TRUE,17-08-2024
1,134,"24,76 €","35,92 €","63,54 €","81,98 €","92,96 €",FALSE,TRUE,12-01-2024
35,135,"7,81 €","75,49 €","65,52 €","46,36 €","26,48 €",TRUE,FALSE,19-09-2024
37,136,"27,80 €","7,59 €","39,49 €","24,24 €","70,24 €",FALSE,FALSE,23-03-2024
47,137,"52,46 €","71,03 €","43,06 €","84,03 €","93,45 €",TRUE,TRUE,05-03-2024
14,138,"74,16 €","4,18 €","81,01 €","94,72 €","77,87 €",TRUE,FALSE,04-10-2024
3,139,"17,98 €","70,85 €","47,65 €","75,91 €","75,89 €",TRUE,TRUE,10-12-2023
1,140,"55,48 €","58,19 €","19,41 €","24,32 €","89,85 €",TRUE,TRUE,19-10-2024
5,141,"48,78 €","0,98 €","85,69 €","45,73 €","61,94 €",TRUE,TRUE,09-12-2023
26,142,"80,69 €","52,94 €","3,45 €","59,61 €","85,10 €",TRUE,TRUE,02-12-2023
14,143,"76,46 €","47,99 €","6,73 €","68,55 €","93,78 €",TRUE,TRUE,15-11-2023
39,144,"78,63 €","91,99 €","93,83 €","21,59 €","93,03 €",FALSE,FALSE,11-04-2024
27,145,"69,81 €","81,52 €","90,50 €","43,76 €","33,63 €",FALSE,FALSE,30-03-2024
9,146,"4,76 €","21,13 €","15,16 €","26,23 €","32,71 €",FALSE,FALSE,13-01-2024
15,147,"56,24 €","25,82 €","78,90 €","31,92 €","83,34 €",FALSE,FALSE,24-01-2024
15,148,"31,98 €","98,23 €","35,57 €","45,60 €","86,62 €",FALSE,TRUE,23-02-2024
26,149,"26,86 €","15,02 €","66,16 €","36,88 €","87,09 €",TRUE,TRUE,25-10-2024
42,150,"61,07 €","70,83 €","17,20 €","79,84 €","5,52 €",TRUE,TRUE,05-10-2024
